sepal_length,sepal_width,petal_length,petal_width,species,score,predicted_label
5.1,3.5,1.4,0.2,setosa,"[0.9698342084884644, 0.030039047822356224, 0.0001267994084628299]",0
4.9,3,1.4,0.2,setosa,"[0.8265383243560791, 0.17306607961654663, 0.00039561904850415885]",0
4.7,3.2,1.3,0.2,setosa,"[0.949134349822998, 0.050727225840091705, 0.00013839671737514436]",0
4.6,3.1,1.5,0.2,setosa,"[0.928020179271698, 0.07178228348493576, 0.0001975037157535553]",0
5,3.6,1.4,0.2,setosa,"[0.9841151237487793, 0.015809526666998863, 7.534542237408459e-05]",0
5.4,3.9,1.7,0.4,setosa,"[0.9889418482780457, 0.010898946784436703, 0.00015914846153464168]",0
4.6,3.4,1.4,0.3,setosa,"[0.9812370538711548, 0.018671438097953796, 9.146344382315874e-05]",0
5,3.4,1.5,0.2,setosa,"[0.9590458869934082, 0.040791530162096024, 0.00016258470714092255]",0
4.4,2.9,1.4,0.2,setosa,"[0.8890030384063721, 0.11077398806810379, 0.00022303327568806708]",0
4.9,3.1,1.5,0.1,setosa,"[0.8809438347816467, 0.11880737543106079, 0.0002487956953700632]",0
5.4,3.7,1.5,0.2,setosa,"[0.9770171046257019, 0.022850966081023216, 0.00013193699123803526]",0
4.8,3.4,1.6,0.2,setosa,"[0.9704753756523132, 0.029399650171399117, 0.00012492168752942234]",0
4.8,3,1.4,0.1,setosa,"[0.8568791747093201, 0.142873153090477, 0.00024765057605691254]",0
4.3,3,1.1,0.1,setosa,"[0.9491680264472961, 0.050760094076395035, 7.187950541265309e-05]",0
5.8,4,1.2,0.2,setosa,"[0.9890589714050293, 0.010866396129131317, 7.459602056769654e-05]",0
5.7,4.4,1.5,0.4,setosa,"[0.9981757402420044, 0.0017821425572037697, 4.2163923353655264e-05]",0
5.4,3.9,1.3,0.4,setosa,"[0.9910475015640259, 0.008853092789649963, 9.934225818142295e-05]",0
5.1,3.5,1.4,0.3,setosa,"[0.9688482284545898, 0.030979495495557785, 0.00017229682998731732]",0
5.7,3.8,1.7,0.3,setosa,"[0.9701619744300842, 0.029547465965151787, 0.0002905816654674709]",0
5.1,3.8,1.5,0.3,setosa,"[0.9915363192558289, 0.0083916699513793, 7.194157660705969e-05]",0
5.4,3.4,1.7,0.2,setosa,"[0.9058688282966614, 0.09370352327823639, 0.00042763492092490196]",0
5.1,3.7,1.5,0.4,setosa,"[0.9862062335014343, 0.013657289557158947, 0.00013650758774019778]",0
4.6,3.6,1,0.2,setosa,"[0.9940665364265442, 0.005911829881370068, 2.1570649550994858e-05]",0
5.1,3.3,1.7,0.5,setosa,"[0.9081494212150574, 0.09101226925849915, 0.0008383168024010956]",0
4.8,3.4,1.9,0.2,setosa,"[0.965580940246582, 0.034241776913404465, 0.0001772702526068315]",0
5,3,1.6,0.2,setosa,"[0.77903151512146, 0.22039325535297394, 0.0005752514698542655]",0
5,3.4,1.6,0.4,setosa,"[0.9540826082229614, 0.04558054357767105, 0.00033684325171634555]",0
5.2,3.5,1.5,0.2,setosa,"[0.9616425633430481, 0.03818507120013237, 0.0001723152818158269]",0
5.2,3.4,1.4,0.2,setosa,"[0.9434487223625183, 0.05634067952632904, 0.0002106426836689934]",0
4.7,3.2,1.6,0.2,setosa,"[0.9409356713294983, 0.05886857956647873, 0.00019568263087421656]",0
4.8,3.1,1.6,0.2,setosa,"[0.8920758962631226, 0.10760730504989624, 0.0003168130642734468]",0
5.4,3.4,1.5,0.4,setosa,"[0.909138560295105, 0.09023475646972656, 0.000626679218839854]",0
5.2,4.1,1.5,0.1,setosa,"[0.9975627064704895, 0.0024200626648962498, 1.726445771055296e-05]",0
5.5,4.2,1.4,0.2,setosa,"[0.9972817897796631, 0.002691339934244752, 2.684091123228427e-05]",0
4.9,3.1,1.5,0.1,setosa,"[0.8774919509887695, 0.12217096984386444, 0.00033708492992445827]",0
5,3.2,1.2,0.2,setosa,"[0.9161588549613953, 0.0836268961429596, 0.00021421481505967677]",0
5.5,3.5,1.3,0.2,setosa,"[0.9393166303634644, 0.06044359505176544, 0.0002397752832621336]",0
4.9,3.1,1.5,0.1,setosa,"[0.987324059009552, 0.012630335986614227, 4.564323171507567e-05]",0
4.4,3,1.3,0.2,setosa,"[0.9304463863372803, 0.06940573453903198, 0.00014785768871661276]",0
5.1,3.4,1.5,0.2,setosa,"[0.9506195783615112, 0.04918421804904938, 0.0001962186797754839]",0
5,3.5,1.3,0.3,setosa,"[0.9755417108535767, 0.024331707507371902, 0.00012658322521019727]",0
4.5,2.3,1.3,0.3,setosa,"[0.2978988587856293, 0.7012641429901123, 0.000837002822663635]",1
4.4,3.2,1.3,0.2,setosa,"[0.9710873365402222, 0.02883417345583439, 7.844741048756987e-05]",0
5,3.5,1.6,0.6,setosa,"[0.9684391021728516, 0.03110985830426216, 0.0004510262224357575]",0
5.1,3.8,1.9,0.4,setosa,"[0.9891807436943054, 0.010662484914064407, 0.000156725975102745]",0
4.8,3,1.4,0.3,setosa,"[0.8487264513969421, 0.15081973373889923, 0.00045382758253253996]",0
5.1,3.8,1.6,0.2,setosa,"[0.9913750290870667, 0.00856547150760889, 5.9525875258259475e-05]",0
4.6,3.2,1.4,0.2,setosa,"[0.955621063709259, 0.044250134378671646, 0.00012882190640084445]",0
5.3,3.7,1.5,0.2,setosa,"[0.9810289144515991, 0.018862348049879074, 0.00010880602349061519]",0
5,3.3,1.4,0.2,setosa,"[0.9396923184394836, 0.06010916829109192, 0.00019849279487971216]",0
7,3.2,4.7,1.4,versicolor,"[0.013596398755908012, 0.574961245059967, 0.4114423394203186]",1
6.4,3.2,4.5,1.5,versicolor,"[0.04328589886426926, 0.5251152515411377, 0.4315989017486572]",1
6.9,3.1,4.9,1.5,versicolor,"[0.008047751151025295, 0.5084694027900696, 0.48348283767700195]",1
5.5,2.3,4,1.3,versicolor,"[0.009396501816809177, 0.8905308246612549, 0.10007262229919434]",1
6.5,2.8,4.6,1.5,versicolor,"[0.006577481981366873, 0.6456074714660645, 0.3478150963783264]",1
5.7,2.8,4.5,1.3,versicolor,"[0.04084111005067825, 0.744453489780426, 0.2147054374217987]",1
6.3,3.3,4.7,1.6,versicolor,"[0.0547112412750721, 0.3947349488735199, 0.5505537986755371]",2
4.9,2.4,3.3,1,versicolor,"[0.07680894434452057, 0.8921242356300354, 0.031066857278347015]",1
6.6,2.9,4.6,1.3,versicolor,"[0.010363313369452953, 0.7325018644332886, 0.2571347951889038]",1
5.2,2.7,3.9,1.4,versicolor,"[0.09078828990459442, 0.7419332265853882, 0.1672784984111786]",1
5,2,3.5,1,versicolor,"[0.00976027175784111, 0.966672956943512, 0.023566756397485733]",1
5.9,3,4.2,1.5,versicolor,"[0.06283687800168991, 0.6142225861549377, 0.3229405879974365]",1
6,2.2,4,1,versicolor,"[0.002628015587106347, 0.9556320309638977, 0.04173993319272995]",1
6.1,2.9,4.7,1.4,versicolor,"[0.022690821439027786, 0.655166745185852, 0.32214242219924927]",1
5.6,2.9,3.6,1.3,versicolor,"[0.12570913136005402, 0.7409016489982605, 0.1333892047405243]",1
6.7,3.1,4.4,1.4,versicolor,"[0.020285295322537422, 0.6452810764312744, 0.3344336152076721]",1
5.6,3,4.5,1.5,versicolor,"[0.08758118748664856, 0.5567591190338135, 0.35565972328186035]",1
5.8,2.7,4.1,1,versicolor,"[0.03434856981039047, 0.8893266916275024, 0.07632473111152649]",1
6.2,2.2,4.5,1.5,versicolor,"[0.0009809014154598117, 0.8046920895576477, 0.1943269819021225]",1
5.6,2.5,3.9,1.1,versicolor,"[0.022211821749806404, 0.9074820876121521, 0.07030608505010605]",1
5.9,3.2,4.8,1.8,versicolor,"[0.04940572753548622, 0.28982967138290405, 0.6607646346092224]",2
6.1,2.8,4,1.3,versicolor,"[0.02625434286892414, 0.8058933019638062, 0.16785234212875366]",1
6.3,2.5,4.9,1.5,versicolor,"[0.002219510730355978, 0.6862484216690063, 0.31153202056884766]",1
6.1,2.8,4.7,1.2,versicolor,"[0.018280474469065666, 0.7849773168563843, 0.1967422366142273]",1
6.4,2.9,4.3,1.3,versicolor,"[0.01867729052901268, 0.7621449828147888, 0.2191777229309082]",1
6.6,3,4.4,1.4,versicolor,"[0.01627618633210659, 0.6746198534965515, 0.30910393595695496]",1
6.8,2.8,4.8,1.4,versicolor,"[0.003571447916328907, 0.6788831949234009, 0.3175453245639801]",1
6.7,3,5,1.7,versicolor,"[0.005118106491863728, 0.3890569508075714, 0.6058249473571777]",2
6,2.9,4.5,1.5,versicolor,"[0.028106529265642166, 0.6200753450393677, 0.35181814432144165]",1
5.7,2.6,3.5,1,versicolor,"[0.03720594570040703, 0.9159770011901855, 0.04681707173585892]",1
5.5,2.4,3.8,1.1,versicolor,"[0.018264655023813248, 0.9225730299949646, 0.05916230380535126]",1
5.5,2.4,3.7,1,versicolor,"[0.020185275003314018, 0.9371107816696167, 0.0427040159702301]",1
5.8,2.7,3.9,1.2,versicolor,"[0.0343787781894207, 0.8540750741958618, 0.1115461140871048]",1
6,2.7,5.1,1.6,versicolor,"[0.006778115406632423, 0.5314351916313171, 0.46178674697875977]",1
5.4,3,4.5,1.5,versicolor,"[0.12444854527711868, 0.5346503853797913, 0.34090107679367065]",1
6,3.4,4.5,1.6,versicolor,"[0.15590998530387878, 0.3549799919128418, 0.4891100227832794]",2
6.7,3.1,4.7,1.5,versicolor,"[0.014000608585774899, 0.5382125377655029, 0.4477868676185608]",1
6.3,2.3,4.4,1.3,versicolor,"[0.001552514499053359, 0.8702383637428284, 0.128209188580513]",1
5.6,3,4.1,1.3,versicolor,"[0.13884948194026947, 0.6713172793388367, 0.18983323872089386]",1
5.5,2.5,4,1.3,versicolor,"[0.022655747830867767, 0.8546863794326782, 0.12265787273645401]",1
5.5,2.6,4.4,1.2,versicolor,"[0.02941199578344822, 0.8365842700004578, 0.134003683924675]",1
6.1,3,4.6,1.4,versicolor,"[0.03666004166007042, 0.6336718797683716, 0.3296680152416229]",1
5.8,2.6,4,1.2,versicolor,"[0.020998980849981308, 0.8714346885681152, 0.10756637156009674]",1
5,2.3,3.3,1,versicolor,"[0.04152035713195801, 0.9298012256622314, 0.02867843210697174]",1
5.6,2.7,4.2,1.3,versicolor,"[0.03916148096323013, 0.7945612668991089, 0.16627724468708038]",1
5.7,3,4.2,1.2,versicolor,"[0.11930830776691437, 0.7163347005844116, 0.16435694694519043]",1
5.7,2.9,4.2,1.3,versicolor,"[0.07433634251356125, 0.7303034067153931, 0.1953602284193039]",1
6.2,2.9,4.3,1.3,versicolor,"[0.027402644976973534, 0.7556824684143066, 0.2169148325920105]",1
5.1,2.5,3,1.1,versicolor,"[0.0911538228392601, 0.8716808557510376, 0.03716529905796051]",1
5.7,2.8,4.1,1.3,versicolor,"[0.05249476060271263, 0.7756080627441406, 0.17189714312553406]",1
6.3,3.3,6,2.5,virginica,"[0.0013037760509178042, 0.024793796241283417, 0.9739024639129639]",2
5.8,2.7,5.1,1.9,virginica,"[0.0057159303687512875, 0.33322736620903015, 0.6610567569732666]",2
7.1,3,5.9,2.1,virginica,"[0.00034629780566319823, 0.10501602292060852, 0.8946376442909241]",2
6.3,2.9,5.6,1.8,virginica,"[0.0034739470575004816, 0.2704271972179413, 0.726098895072937]",2
6.5,3,5.8,2.2,virginica,"[0.0009515996789559722, 0.0872482880949974, 0.9118001461029053]",2
7.6,3,6.6,2.1,virginica,"[5.8836583775701e-05, 0.06863059848546982, 0.9313105940818787]",2
4.9,2.5,4.5,1.7,virginica,"[0.03511795774102211, 0.6038985848426819, 0.3609835207462311]",1
7.3,2.9,6.3,1.8,virginica,"[0.00023667032655794173, 0.18874593079090118, 0.8110173344612122]",2
6.7,2.5,5.8,1.8,virginica,"[0.00029002453084103763, 0.34652242064476013, 0.6531875729560852]",2
7.2,3.6,6.1,2.5,virginica,"[0.0005486678564921021, 0.016105158254504204, 0.983346164226532]",2
6.5,3.2,5.1,2,virginica,"[0.007158607244491577, 0.169743612408638, 0.8230977654457092]",2
6.4,2.7,5.3,1.9,virginica,"[0.0014530292246490717, 0.30483493208885193, 0.693712055683136]",2
6.8,3,5.5,2.1,virginica,"[0.000971748202573508, 0.1327032893896103, 0.8663249611854553]",2
5.7,2.5,5,2,virginica,"[0.0029008970595896244, 0.3421206772327423, 0.6549784541130066]",2
5.8,2.8,5.1,2.4,virginica,"[0.0023361609783023596, 0.1007576659321785, 0.8969061374664307]",2
6.4,3.2,5.3,2.3,virginica,"[0.0030680829659104347, 0.0730869248509407, 0.9238449335098267]",2
6.5,3,5.5,1.8,virginica,"[0.003756266087293625, 0.2590181827545166, 0.7372255325317383]",2
7.7,3.8,6.7,2.2,virginica,"[0.0004974075127393007, 0.01927904412150383, 0.980223536491394]",2
7.7,2.6,6.9,2.3,virginica,"[4.808559879165841e-06, 0.05372205376625061, 0.946273148059845]",2
6,2.2,5,1.5,virginica,"[0.001038047019392252, 0.7482761144638062, 0.25068581104278564]",1
6.9,3.2,5.7,2.3,virginica,"[0.0007284175953827798, 0.05701739341020584, 0.9422541856765747]",2
5.6,2.8,4.9,2,virginica,"[0.011931109242141247, 0.27564749121665955, 0.7124214172363281]",2
7.7,2.8,6.7,2,virginica,"[2.8560067221405916e-05, 0.10393118858337402, 0.8960402607917786]",2
6.3,2.7,4.9,1.8,virginica,"[0.003164798254147172, 0.4285530149936676, 0.5682821869850159]",2
6.7,3.3,5.7,2.1,virginica,"[0.0027131051756441593, 0.08496315032243729, 0.9123237729072571]",2
7.2,3.2,6,1.8,virginica,"[0.00116700679063797, 0.1641443967819214, 0.8346886038780212]",2
6.2,2.8,4.8,1.8,virginica,"[0.006209077779203653, 0.41377750039100647, 0.5800133347511292]",2
6.1,3,4.9,1.8,virginica,"[0.014730863273143768, 0.33855435252189636, 0.6467147469520569]",2
6.4,2.8,5.6,2.1,virginica,"[0.0009395327069796622, 0.15514737367630005, 0.8439130783081055]",2
7.2,3,5.8,1.6,virginica,"[0.0011115040397271514, 0.33178210258483887, 0.6671063303947449]",2
7.4,2.8,6.1,1.9,virginica,"[0.00012966527719981968, 0.18530869483947754, 0.8145616054534912]",2
7.9,3.8,6.4,2,virginica,"[0.0008664716733619571, 0.03983227536082268, 0.959301233291626]",2
6.4,2.8,5.6,2.2,virginica,"[0.0007177508668974042, 0.12235907465219498, 0.8769232034683228]",2
6.3,2.8,5.1,1.5,virginica,"[0.006591591518372297, 0.5685111880302429, 0.424897164106369]",1
6.1,2.6,5.6,1.4,virginica,"[0.0033437893725931644, 0.6166702508926392, 0.37998586893081665]",1
7.7,3,6.1,2.3,virginica,"[4.7857796744210646e-05, 0.05566135421395302, 0.944290816783905]",2
6.3,3.4,5.6,2.4,virginica,"[0.003932123072445393, 0.03704218566417694, 0.9590256810188293]",2
6.4,3.1,5.5,1.8,virginica,"[0.006592154502868652, 0.23576827347278595, 0.7576395869255066]",2
6,3,4.8,1.8,virginica,"[0.019623318687081337, 0.3517884910106659, 0.6285881996154785]",2
6.9,3.1,5.4,2.1,virginica,"[0.001269038999453187, 0.1262003630399704, 0.8725306391716003]",2
6.7,3.1,5.6,2.4,virginica,"[0.0006402161670848727, 0.05258127301931381, 0.9467784762382507]",2
6.9,3.1,5.1,2.3,virginica,"[0.0010168415028601885, 0.09206362813711166, 0.906919538974762]",2
5.8,2.7,5.1,1.9,virginica,"[0.0057159303687512875, 0.33322736620903015, 0.6610567569732666]",2
6.8,3.2,5.9,2.3,virginica,"[0.0007049122941680253, 0.05038264021277428, 0.9489124417304993]",2
6.7,3.3,5.7,2.5,virginica,"[0.0008420295780524611, 0.02995092235505581, 0.9692070484161377]",2
6.7,3,5.2,2.3,virginica,"[0.0009496369166299701, 0.09706135839223862, 0.9019889831542969]",2
6.3,2.5,5,1.9,virginica,"[0.001096564345061779, 0.40586376190185547, 0.5930396914482117]",2
6.5,3,5.2,2,virginica,"[0.003140931949019432, 0.1971883773803711, 0.7996707558631897]",2
6.2,3.4,5.4,2.3,virginica,"[0.00806568656116724, 0.05447356402873993, 0.9374607801437378]",2
5.9,3,5.1,1.8,virginica,"[0.017929358407855034, 0.3093110918998718, 0.6727595329284668]",2